STRUCTURE_NUMBER_008,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,MIN_CONDITION,Infrastructure_Risk
10001,2,1,00041,0,1,15,0,'CRESTWOOD WATERWAY','US-41 (SR-45)','2.5MI NORTH OF SR-776',99.99,39.207,1,1010000.0,0.0,27010846,82110512,3,3,1,1,14,1974,6,0,30000,2021,4,27.4,1,0,0,N,N,N,N,5,0,0.0,0.0,A,5,5,1,19,0,0,2,0,15.8,3.6,7.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,7.0,1,99.9,1,70.2,7,N,N,5,7,8,,0.0,522,24,N  ,Y23,N  ,,522.0,,0.0,0.0,0.0,0,N,2,1,0,0,N,N,N,N,6,0,,8,52050,2043,0.0,,7,191.8,7.0,Low
10003,4,1,00074,0,1,15,0,'MYRTLE SLOUGH','CR-74','4.4MI EAST OF US-17',99.99,7.023,0,1520000.0,0.0,26564837,81555060,20,3,2,2,7,1972,2,0,5300,2020,2,10.4,0,10,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,10.4,3.7,10.9,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,52.7,1,31.6,6,N,N,5,7,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,31,0,,8,9196,2042,0.0,,6,113.36,6.0,Medium
10006,4,2,0765A,0,1,15,0,'N FORK ALLIGATOR CREEK','CR765A (TAYLOR RD)','0.5MI S OF AIRPORT ROAD',99.99,5.135,0,1530000.0,0.0,26544580,82014420,3,3,2,2,7,1960,2,0,5700,2020,2,7.1,0,0,0,N,N,0,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,9.2,3.0,9.8,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,7.0,1,68.9,1,41.3,7,N,N,5,7,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,3,0,,8,9890,2042,0.0,,7,69.58,7.0,Low
10007,4,1,00764,0,1,15,0,'MYRTLE SLOUGH','CR-764','1.1MI E OF US-17',99.99,0.0,0,1000000.0,0.0,26583446,81564510,4,3,2,2,8,1961,2,0,2071,2021,2,5.8,0,0,0,1,1,1,1,5,0,0.0,0.0,A,1,5,1,1,0,0,5,0,7.3,9.1,45.7,0.0,0.0,7.3,7.8,99.99,N,0.0,N,0.0,0.0,6.0,6.0,6.0,7.0,,1,38.1,1,22.9,6,2,N,5,7,8,,0.0,521,24,N  ,Y24,N  ,,421.0,,0.0,0.0,0.0,0,N,2,0,0,0,1,0,0,0,5,0,,8,3593,2042,0.0,,6,356.46,6.0,Medium
10008,4,1,00764,0,1,15,0,'SHELL CREEK','CR-764','4.9 MI E OF US-17',99.99,0.0,0,1000000.0,0.0,26583133,81531492,16,3,2,2,9,1961,2,0,870,2021,2,6.1,0,0,0,0,0,0,0,5,0,0.0,0.0,P,1,5,1,1,0,0,8,0,7.4,6.1,48.8,0.1,0.1,7.4,7.9,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,7.0,,1,38.2,1,22.9,6,4,N,5,8,7,,0.0,521,24,N  ,Y24,N  ,,421.0,,0.0,0.0,0.0,0,N,2,0,0,0,1,0,0,0,5,0,,8,1509,2042,0.0,,6,385.52,6.0,Medium
10009,4,1,00764,0,1,15,0,'PRAIRIE CREEK','CR-764','3.9 MI E OF US-17',99.99,0.0,0,1000000.0,0.0,26592621,81534068,16,3,2,2,9,1961,2,0,870,2021,2,6.3,0,0,0,1,1,1,1,5,0,0.0,0.0,A,1,5,1,1,0,0,6,0,7.3,6.1,36.6,0.2,0.2,7.3,7.8,99.99,N,0.0,N,0.0,0.0,7.0,7.0,6.0,7.0,,1,38.8,1,23.2,6,4,N,5,8,8,,0.0,521,24,N  ,Y24,N  ,,421.0,,0.0,0.0,0.0,0,N,2,0,0,0,1,0,0,0,5,0,,8,1509,2042,0.0,,6,285.48,6.0,Medium
10014,4,1,00768,0,1,15,0,'ALLIGATOR CREEK','CR-768','1.6 MI E OF SR S-765A',99.99,2.718,0,1511000.0,0.0,26530470,81584300,3,3,2,2,7,1967,2,0,2400,2020,0,6.2,0,45,0,N,N,0,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,10.2,5.1,16.5,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,6.0,5.0,1,74.5,1,44.5,5,N,N,5,8,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,10,0,,4,4164,2042,0.0,,5,102.3,5.0,Medium
10015,3,1,00031,0,1,15,0,'SHELL CREEK','SR-31','1.2 Mi. NORTH OF CR-74',99.99,21.572,1,1030000.0,0.0,26575225,81453849,48,3,1,1,6,1970,2,0,4700,2021,5,10.7,0,7,0,N,0,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,13.6,3.7,11.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,7.0,1,44.1,1,26.5,6,N,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,42,0,,8,8154,2043,0.0,,7,117.7,7.0,Low
10016,4,1,00074,0,1,15,0,'SHELL CREEK DRAINAGE','CR-74','4.5 MI WEST OF SR-31',99.99,16.829,0,1520000.0,0.0,26564659,81495580,20,3,2,2,7,1955,2,0,5300,2020,0,9.8,0,0,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,2,0,13.4,3.0,6.4,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,48.0,1,28.8,6,N,N,5,6,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,1988,N,N,N,N,31,0,,8,9196,2042,0.0,,6,62.72,6.0,Medium
10017,4,1,00074,0,1,15,0,'BABCOCK DRAINAGE','CR-74','1.2 MI WEST OF SR-31',99.99,21.955,0,1520000.0,0.0,26564571,81464880,20,3,2,2,7,1955,2,0,5300,2020,0,9.8,0,0,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,2,0,11.2,3.0,6.3,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,48.0,1,28.8,6,N,N,5,6,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,1972,N,N,N,N,31,0,,8,9196,2042,0.0,,6,61.74,6.0,Medium
10018,3,1,00031,0,1,15,0,'MYRTLE SLOUGH','SR-31','4.2 MILES NORTH OF CR-74',99.99,26.464,1,1030000.0,0.0,27003156,81453742,23,3,1,1,6,1970,2,0,4700,2021,5,10.6,0,6,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,4,0,13.5,3.7,14.3,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,6.0,6.0,1,45.1,1,27.1,6,N,N,5,8,8,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,42,0,,8,8154,2043,0.0,,6,151.58,6.0,Medium
10020,4,1,00074,0,1,15,0,'MYRTLE SLOUGH','CR-74','4.2 MI EAST OF US-17',99.99,6.698,0,1520000.0,0.0,26564850,81560220,20,3,2,2,7,1950,2,0,5300,2020,2,9.4,0,29,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,9.4,3.7,11.3,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,37.5,1,22.5,5,N,N,5,7,8,,0.0,521,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,1973,N,N,N,N,31,0,,8,9196,2042,0.0,,6,106.22,6.0,Medium
10026,2,1,00041,0,1,15,58350,'ELKHAM WATERWAY','US-41 (SR-45)','0.2 MI. S OF HARBOR BLVD.',99.99,28.907,1,1010000.0,0.0,26584513,82054148,0,3,1,1,14,1966,6,0,43500,2021,0,27.6,1,30,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,2,0,15.5,4.2,8.2,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,7.0,1,81.0,1,48.6,7,N,N,5,8,8,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,1,0,1986,N,N,N,N,4,0,,8,75472,2043,0.0,,7,226.32,7.0,Low
10028,2,1,00041,0,1,15,0,'HARBOR SQUARE DRAINAGE','US-41 (SR-45)','0.5Mi. N of CR-776',99.99,27.058,1,1010000.0,0.0,26580742,82044922,26,3,1,1,14,1948,7,0,43500,2021,2,28.5,1,0,0,0,0,0,0,5,0,0.0,0.0,A,1,5,1,19,0,0,2,0,17.4,3.2,6.4,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,6.0,7.0,1,47.0,1,28.1,7,N,N,5,8,8,,0.0,622,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,1,0,1966,N,N,N,N,4,0,,8,75472,2043,0.0,,7,182.4,6.0,Medium
10029,4,1,00776,0,1,15,20825,'LEMON BAY ICWW','BEACH ROAD','0.8 MILE SW OF CR-776',5.39,1.302,0,1050001.0,0.0,26560373,82211097,21,3,2,2,17,1965,2,0,11300,2023,0,7.0,0,0,0,0,0,0,0,5,1,6.2,26.2,P,5,5,3,16,5,2,1,18,7.9,31.4,306.5,1.5,1.5,7.9,11.5,5.39,N,0.0,N,0.0,0.0,7.0,5.0,6.0,7.0,,2,38.6,2,34.5,5,3,N,4,9,7,,0.0,123,24,Y12,Y24,Y12,123.0,123.0,123.0,0.0,0.0,0.0,0,N,2,0,0,2018,1,0,0,0,5,0,2.0,3,14125,2042,0.0,,5,3524.75,5.0,Medium
10031,3,1,00776,0,1,15,0,'SAM KNIGHT CREEK','SR-776','3.2MI WEST OF US-41',99.99,22.952,0,1050000.0,0.0,26594501,82114558,32,3,1,1,16,1962,4,0,31500,2021,5,18.3,1,30,0,0,N,1,1,5,0,0.0,0.0,A,5,5,1,19,0,0,3,0,11.6,3.2,11.3,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,67.3,1,40.5,6,N,N,5,8,8,,0.0,522,24,N  ,Y24,N  ,,422.0,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,9,0,,8,54653,2042,0.0,,6,206.79,6.0,Medium
10032,2,1,00041,0,1,15,0,'ALLIGATOR CREEK','US-41 NB (SR 45)','0.4MI S OF CR-765',99.99,15.833,1,1010000.0,0.0,26531592,82011234,1,3,1,1,14,1971,2,0,7750,2021,5,12.3,0,19,0,1,0,1,1,5,0,0.0,0.0,A,1,5,2,1,0,0,6,0,12.1,8.1,47.5,0.0,0.0,12.1,13.7,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,7.0,,1,50.1,1,29.9,6,7,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,R,1,1,0,2001,1,6,8,8,11,1,,8,13446,2043,0.0,,6,650.75,6.0,Medium
10033,2,1,00041,0,1,15,0,'N Fork Alligator Crk','US-41 (SR-45) NB','1MI N OF CR-765',99.99,17.963,1,1010000.0,0.0,26540801,82020235,1,3,1,1,14,1935,2,0,16250,2021,0,11.6,0,23,0,0,1,1,1,3,0,0.0,0.0,A,1,5,1,1,0,0,3,0,11.6,8.2,20.4,0.0,0.0,11.6,12.4,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,7.0,,1,54.6,1,32.7,6,7,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,R,1,1,0,1981,1,6,0,0,7,1,,5,28194,2043,0.0,,6,252.96,6.0,Medium
10035,3,1,00776,0,1,15,0,'MYAKKA RIVER','SR-776 EB','6.4MI W OF US 41',99.99,17.997,1,1050000.0,0.0,26572960,82124483,1,3,1,1,6,1959,2,0,16022,2021,4,8.5,0,0,0,0,0,1,1,5,1,7.5,15.0,A,5,5,5,2,0,0,31,0,8.5,18.3,384.0,1.0,1.1,8.5,11.3,99.99,N,0.0,N,0.0,0.0,6.0,5.0,7.0,8.0,,1,78.9,1,47.2,5,3,N,5,7,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,R,1,0,0,0,1,0,0,0,8,0,2.0,7,27798,2043,0.0,,5,4339.2,5.0,Medium
10042,2,1,00041,0,1,15,0,'SUNSET CANAL','US-41 (SR-45)','1.7MI SOUTH OF SR-776',99.99,32.419,1,1010000.0,0.0,26595741,82072021,6,3,1,1,14,1969,6,0,50000,2021,5,33.5,2,0,0,1,0,0,0,5,0,0.0,0.0,A,1,5,1,1,0,0,3,0,99.9,7.6,22.9,0.0,0.0,33.5,37.6,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,7.0,,1,62.1,1,37.2,7,9,N,5,8,8,,0.0,522,24,N  ,Y24,N  ,,422.0,,0.0,0.0,0.0,0,N,2,1,0,1994,1,0,0,0,4,0,,8,86750,2043,0.0,,7,861.04,7.0,Low
10043,2,1,00041,0,1,15,0,'SOUTH MURDOCK CREEK','US-41 (SR-45)','0.1MI S OF TOLEDO BLADE B',99.99,33.55,1,1010000.0,0.0,27002002,82075286,5,3,1,1,14,1970,7,0,50000,2021,6,32.6,1,30,0,N,N,0,0,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,18.3,3.3,10.1,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,71.1,1,42.6,6,N,N,5,8,8,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,1,0,0,N,N,N,N,4,0,,8,86750,2042,0.0,,6,329.26,6.0,Medium
10044,2,1,00041,0,1,15,0,'PELLAM WATERWAY','US-41 (SR-45)','300FT S OF MURDOCK CIR',99.99,34.48,1,1010000.0,0.0,27003520,82082180,3,3,1,1,14,1970,9,0,47500,2021,5,29.9,1,28,0,N,N,0,0,5,0,0.0,0.0,A,5,5,1,19,0,0,3,0,21.3,2.9,8.7,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,7.0,1,99.9,1,86.3,7,N,N,5,8,8,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,1,0,0,N,N,N,N,4,0,,8,82413,2042,0.0,,7,260.13,7.0,Low
10045,2,1,00041,0,1,15,58350,'MORNING STAR CANAL','US-41 (SR-45)','0.1MI S OF MIDWAY BLVD.',99.99,31.469,1,1010000.0,0.0,26593748,82065413,5,3,1,1,14,1994,6,0,46000,2021,5,29.3,2,0,0,1,0,0,0,5,0,0.0,0.0,A,1,5,1,1,0,0,4,0,99.9,7.9,31.7,0.0,0.0,29.3,37.6,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,7.0,,1,71.7,1,42.9,7,9,N,5,8,8,,0.0,522,24,N  ,Y24,N  ,,422.0,,0.0,0.0,0.0,0,N,2,1,0,2013,1,0,0,0,4,0,,8,79810,2042,0.0,,7,1191.92,7.0,Low
10050,2,1,00041,0,1,15,59200,'PEACE RIVER','US-41 SB (SR-45)','0.3MI N OF US-17',99.99,0.19,1,1010101.0,0.0,26563910,82033030,1,3,1,1,14,1976,2,0,26000,2021,5,8.9,0,0,0,1,0,1,1,5,1,13.7,22.0,A,5,5,5,2,2,1,85,6,12.3,34.9,1946.3,1.5,0.0,12.3,14.7,99.99,N,0.0,N,0.0,0.0,6.0,7.0,6.0,7.0,,1,62.5,1,37.2,6,7,N,5,8,8,,0.0,721,24,N  ,Y24,N  ,,621.0,,0.0,0.0,0.0,0,L,1,1,0,0,1,0,0,0,6,0,2.0,5,45110,2043,0.0,,6,28610.61,6.0,Medium
10052,4,1,00000,0,1,15,59200,'VENICE CANAL','RIO VILLA DRIVE','0.8 MI. WEST OF US-41',99.99,0.0,0,1000000.0,0.0,26540910,82030015,2,3,2,2,19,1973,2,0,2180,2021,4,6.2,0,0,0,0,0,0,0,5,0,0.0,0.0,P,1,5,2,1,0,0,3,0,8.3,9.0,23.8,0.0,0.0,8.3,8.9,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,8.0,,1,41.7,1,25.0,6,3,N,4,7,6,,0.0,521,24,N  ,Y24,Y12,,421.0,522.0,0.0,0.0,0.0,0,N,2,0,0,0,1,0,0,0,2,0,,8,3783,2042,0.0,,6,211.82,6.0,Medium
10053,2,1,00041,0,1,15,0,'CLARKS CANAL','US-41 (SR-45)','2.9MI S of SR-762',99.99,6.648,1,1010000.0,0.0,26491908,81575258,16,3,1,1,2,1977,4,0,16200,2021,5,16.5,1,0,0,N,N,N,N,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,8.7,3.4,10.2,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,5.0,1,51.0,1,30.4,5,N,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,N,2,1,0,0,N,N,N,N,9,0,,8,28107,2042,0.0,,5,168.3,5.0,Medium
10055,2,1,00041,0,1,15,0,'ALLIGATOR CREEK','US-41 (SR-45) SB','0.4MI S OF CR-765',99.99,15.841,1,1010000.0,0.0,26531568,82011299,1,3,1,1,14,1981,2,0,7750,2021,5,12.2,0,22,0,0,1,1,1,5,0,0.0,0.0,A,1,5,2,1,0,0,7,0,12.2,7.9,55.5,0.0,0.0,12.2,13.1,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,7.0,,1,75.0,1,44.9,7,7,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,L,1,1,0,0,1,1,0,0,11,1,,8,13446,2043,0.0,,7,727.05,7.0,Low
10056,2,1,00041,0,1,15,0,'N Fork Alligator Crk','US-41 (SR-45) SB','1MI NORTH OF CR-765',99.99,17.965,1,1010000.0,0.0,26540781,82020316,1,3,1,1,14,1981,2,0,16250,2021,5,13.4,0,22,0,0,1,1,0,5,0,0.0,0.0,A,1,5,2,1,0,0,5,0,12.1,6.7,33.5,0.0,0.0,12.1,13.1,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,7.0,,1,69.9,1,41.8,7,7,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,L,1,1,0,0,1,6,8,8,7,0,,8,28194,2043,0.0,,7,438.85,7.0,Low
10059,1,1,00075,0,1,15,0,'CR-776','I-75 SB','3.2MI S OF KINGS HWY',99.99,28.74,1,1075000.0,0.0,26584728,82012601,1,3,1,1,11,1980,3,4,34250,2021,5,16.9,0,16,0,1,1,1,1,5,N,0.0,0.0,A,6,1,5,2,0,0,2,0,16.9,33.2,66.1,0.0,0.0,16.9,17.8,99.99,H,4.91,H,9.0,3.1,7.0,7.0,8.0,,,1,81.3,1,34.5,7,6,7,5,N,8,,0.0,1221,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,1,L,1,1,0,2004,1,0,0,0,15,1,,N,59424,2043,0.0,,7,1176.58,7.0,Low
10060,1,1,00075,0,1,15,0,'CR-776','I-75 NB','3.2MI S OF KINGS HWY',99.99,28.749,1,1075000.0,0.0,26584810,82012520,1,3,1,1,11,1980,3,4,34250,2021,5,16.9,0,16,0,1,1,1,1,5,N,0.0,0.0,A,6,1,5,2,0,0,2,0,16.9,33.1,66.1,0.0,0.0,16.9,17.8,99.99,H,4.91,H,8.5,3.8,7.0,7.0,8.0,,,1,81.3,1,34.5,7,6,7,5,N,8,,0.0,1221,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,1,R,1,1,0,2004,1,0,0,0,15,1,,N,59424,2043,0.0,,7,1176.58,7.0,Low
10061,4,1,00775,0,1,15,0,'BUCK CREEK','CR-775 PLACIDA RD.','0.1MI N OF ROTONDA BLVD W',99.99,8.349,0,1060000.0,0.0,26532528,82183299,10,3,2,2,16,1982,4,0,15100,2020,5,20.1,0,0,0,1,1,1,1,5,0,0.0,0.0,A,5,5,2,1,0,0,3,0,20.1,12.0,32.2,2.8,2.9,20.1,27.2,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,9.0,,1,56.0,1,33.6,7,7,N,5,8,8,,0.0,1021,24,N  ,Y24,N  ,,921.0,,0.0,0.0,0.0,0,N,2,0,0,2002,1,0,0,0,4,0,,5,26198,2042,0.0,,7,875.84,7.0,Low
10062,4,1,00775,0,1,15,0,'AINGER CREEK','CR-775','350FT SOUTH OF MANOR RD',99.99,13.988,0,1060000.0,0.0,26555115,82201200,8,3,2,2,16,1981,5,0,15900,2021,6,19.7,0,0,0,1,1,1,1,5,0,0.0,0.0,A,5,5,2,1,0,0,4,0,20.0,9.6,35.4,2.9,2.9,20.0,26.8,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,8.0,,1,83.2,1,49.9,6,5,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,N,2,0,0,2002,1,0,0,0,4,0,,8,27586,2042,0.0,,6,948.72,6.0,Medium
10063,4,1,00775,0,1,15,0,'OYSTER CREEK','CR-775','0.4MI N OF SAN CASA DR.',99.99,12.929,0,1060000.0,0.0,26552167,82195349,8,3,2,2,16,1981,4,0,15900,2020,6,18.8,0,0,0,1,1,1,1,5,0,0.0,0.0,A,5,5,2,1,0,0,3,0,19.2,11.9,32.0,2.9,2.9,19.2,26.2,99.99,N,0.0,N,0.0,0.0,6.0,6.0,7.0,9.0,,1,56.0,1,33.6,6,6,N,5,8,8,,0.0,622,24,N  ,Y24,N  ,,522.0,,0.0,0.0,0.0,0,N,2,0,0,2002,1,1,0,0,4,0,,8,27586,2042,0.0,,6,838.4,6.0,Medium
10064,4,1,00000,0,1,15,0,'I-75 - SCL RR','OIL WELL ROAD','1.5 Mi. East of US 41',99.99,2.4,0,1000501.0,0.0,26483830,81555530,31,3,1,1,9,1979,2,6,3500,2017,6,8.3,0,46,0,0,0,1,0,5,N,0.0,0.0,A,1,4,4,2,3,2,5,1,12.1,42.7,206.9,0.0,0.0,12.1,13.0,99.99,H,4.94,R,6.3,0.0,6.0,7.0,7.0,,,1,75.4,1,45.0,7,5,5,5,N,8,,0.0,421,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,2,0,0,0,22,0,,N,5473,2039,0.0,,6,2689.7,6.0,Medium
10065,4,1,00000,0,1,15,0,'I-75 (SR-93)','AIRPORT ROAD','1.3MI EAST OF CR-765A',99.99,2.033,0,1000003.0,0.0,26550293,82004453,5,3,1,1,17,1981,2,6,5900,2021,6,12.0,0,13,0,0,0,1,0,5,N,0.0,0.0,A,1,1,4,2,0,0,2,0,12.0,39.8,79.6,0.0,0.0,12.0,12.9,99.99,H,4.94,H,8.8,9.2,6.0,7.0,7.0,,,1,65.4,1,39.2,7,5,5,5,N,8,,0.0,421,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,1,0,0,2,0,0,0,6,0,,N,10236,2043,0.0,,6,1026.84,6.0,Medium
10066,4,1,00768,0,1,15,0,'I-75 (SR 93)','CR 768','1 MI S OF CR-768 NORTH',99.99,1.411,0,1511000.0,0.0,26530550,81592840,3,3,1,1,17,1981,2,6,2600,2021,6,12.2,0,40,0,0,0,1,0,5,N,0.0,0.0,A,1,1,4,2,3,2,2,2,12.2,39.6,104.9,0.0,0.0,12.2,13.3,99.99,H,4.94,H,7.6,9.3,6.0,7.0,7.0,,,1,69.9,1,42.6,7,6,5,5,N,8,,0.0,421,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,2,0,0,0,6,0,,N,4511,2043,0.0,,6,1395.17,6.0,Medium
10067,2,1,00017,0,1,15,0,'FLORIDA STREET','US-17 (SR-35) SB','1.5MI. E OF US-41',99.99,2.918,1,1040000.0,0.0,26562040,82012920,1,3,1,1,14,1981,3,2,9900,2021,6,15.8,0,15,0,0,1,1,0,5,N,0.0,0.0,A,1,1,5,2,0,0,3,0,15.8,18.3,49.7,0.0,0.0,15.8,16.7,99.99,H,4.94,H,5.1,0.0,6.0,7.0,7.0,,,1,48.4,1,29.0,7,7,7,5,N,8,,0.0,622,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,L,1,1,0,0,2,0,0,0,7,1,,N,17176,2043,0.0,,6,829.99,6.0,Medium
