STRUCTURE_NUMBER_008,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,MIN_CONDITION,Infrastructure_Risk
154558,4,1,00611,0,7,103,56975,'JOES CREEK','CR-611 (49TH ST N)','0.15 Mi N/O 38th Ave N',99.99,0.214,0,15530500.0,0.0,27483007,82420023,3,3,2,2,16,1975,7,0,28000,2020,0,26.2,2,18,0,N,N,0,1,5,0,0.0,0.0,A,5,5,1,19,0,0,2,0,99.9,2.7,6.2,1.8,1.5,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,7.0,6.0,1,99.9,1,69.9,6,N,N,5,8,8,,0.0,1121,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,N,N,N,4,0,,8,48580,2042,0.0,,6,162.44,6.0,Medium
154559,4,1,00202,0,7,103,36175,'JOES CREEK','CR202 (54TH AVE N)','0.8MI  W OF 66TH ST NORTH',99.99,1.144,0,15000107.0,0.0,27491550,82443136,3,3,2,2,16,1993,4,0,16600,2020,5,20.4,0,0,0,1,0,0,1,5,0,0.0,0.0,A,5,5,5,2,0,0,3,0,20.4,18.6,55.5,1.6,1.6,20.4,24.9,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,7.0,,1,99.9,1,53.6,7,9,N,5,8,8,,0.0,1121,24,N  ,Y24,N  ,,1021.0,,0.0,0.0,0.0,0,N,2,0,0,0,1,0,0,0,5,0,,U,28801,2042,0.0,,7,1381.95,7.0,Low
154561,5,1,00000,0,7,103,0,'Westwinds Canal','Westwinds Dr','0.02 Mi. E of Cardinal Tr',99.99,0.0,0,15000000.0,0.0,28071130,82460580,3,3,2,2,19,2021,2,0,800,2021,A,9.1,0,0,0,1,1,0,0,5,0,0.0,0.0,A,5,5,5,1,0,0,1,0,13.2,16.5,16.5,2.0,2.0,9.1,13.9,99.99,N,0.0,N,0.0,0.0,9.0,9.0,9.0,8.0,,3,71.2,3,49.0,9,6,N,5,7,7,,,921,24,N  ,Y24,N  ,,821.0,,,,,0,N,2,0,0,0,2,0,0,0,1,0,,U,1388,2042,0.0,,9,229.35,8.0,Low
154562,5,1,00000,0,7,103,67675,'BEAR CREEK','LAPLAZA AVE.','0.2 MI S OF MANGO AVE S',99.99,0.0,0,15000000.0,0.0,27453693,82434694,3,3,2,2,19,2015,2,0,500,2021,A,10.1,0,29,0,1,1,N,N,5,0,0.0,0.0,A,5,5,2,1,0,0,2,0,14.0,11.2,22.4,2.0,2.0,10.1,14.6,99.99,N,0.0,N,0.0,0.0,8.0,8.0,8.0,7.0,,3,61.4,3,47.4,8,6,N,5,8,6,,,1121,24,N  ,Y24,N  ,,1021.0,,,,,0,N,2,0,0,0,1,1,0,0,3,0,,8,868,2042,0.0,,8,327.04,7.0,Low
154565,4,1,00077,0,7,103,71150,'HOLLIN CREEK','EAST LAKE DR CR-77','0.8MI N OF KEYSTONE RD',99.99,0.0,0,15000000.0,0.0,28094936,82424608,199,3,2,2,9,2016,2,0,320,2022,A,7.3,0,0,0,N,N,1,1,5,0,0.0,0.0,A,1,5,1,19,0,0,3,0,9.7,2.4,8.3,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,,,,6.0,7.0,3,48.4,3,37.2,7,N,N,5,8,8,,,1022,24,N  ,N  ,N  ,,,,,,,0,N,2,0,0,0,N,N,N,N,1,0,,8,555,2042,0.0,,7,60.59,6.0,Medium
154568,4,1,00576,0,7,103,12875,'SPRING BRANCH CREEK','SUNSET PT RD/CR576','0.2MI EAST OF DOUGLAS AVE',30.18,0.0,0,15501500.0,0.0,27592420,82470320,1,3,2,2,16,2020,2,0,6900,2023,A,13.2,0,15,0,1,N,N,0,5,0,0.0,0.0,A,1,5,1,19,0,0,2,0,17.1,3.3,6.6,0.0,0.0,0.0,0.0,30.45,N,0.0,N,0.0,0.0,,,,8.0,8.0,3,56.8,3,46.7,8,N,N,5,7,8,,,123,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,0,N,2,0,0,0,N,0,0,0,4,0,,8,8625,2042,0.0,,8,87.12,8.0,Low
154700,4,1,00000,0,7,103,0,'PINE KEY CUTOFF','MADONNA BLVD.','0.3MI W OF SR-679',99.99,0.0,0,15000000.0,0.0,27412650,82433070,199,3,2,2,19,1957,2,0,1600,2022,0,11.1,0,0,0,1,0,0,0,5,0,0.0,0.0,A,5,5,5,2,0,0,3,0,14.2,12.3,36.7,1.9,1.9,10.5,14.9,99.99,N,0.0,N,0.0,0.0,7.0,6.0,6.0,9.0,,1,62.2,1,37.4,6,6,N,5,8,8,,0.0,722,24,N  ,Y24,N  ,,622.0,,0.0,0.0,0.0,0,N,2,0,0,2005,1,0,0,0,1,0,,3,2776,2042,0.0,,6,546.83,6.0,Medium
154701,5,1,00000,0,7,103,0,'PINE KEY CUT-OFF','13TH/SANDS PT DR','0.1MI E OF BAYWAY CR-679',99.99,0.0,0,15000000.0,0.0,27402750,82432580,199,3,2,2,19,1957,2,0,1570,2022,0,7.3,0,0,0,1,0,1,0,5,0,0.0,0.0,A,5,5,5,2,0,0,3,0,7.6,12.2,36.6,1.2,1.2,7.6,12.3,99.99,N,0.0,N,0.0,0.0,7.0,6.0,5.0,9.0,,1,59.2,1,35.6,5,4,N,5,6,8,,0.0,722,24,N  ,Y24,N  ,,622.0,,0.0,0.0,0.0,0,N,2,0,0,1993,1,0,0,0,1,0,,8,2724,2042,0.0,,5,450.18,5.0,Medium
155000,5,1,00000,0,7,103,5075,'GRAFF CANAL','WINSTON DR','150YD W OF BLUFF VIEW DR.',99.99,0.0,0,15000000.0,0.0,27552960,82492055,199,3,3,3,19,1950,2,0,300,2023,5,6.9,0,0,0,0,0,0,0,5,0,0.0,0.0,A,1,5,5,1,0,0,1,0,7.9,7.7,7.7,0.0,0.0,7.9,8.7,99.99,N,0.0,N,0.0,0.0,7.0,7.0,7.0,9.0,,1,47.1,1,34.1,7,5,N,5,7,8,,0.0,123,24,N  ,Y24,N  ,,123.0,,0.0,0.0,0.0,0,N,2,0,0,1984,2,6,0,0,2,0,,3,521,2042,0.0,,7,66.99,7.0,Low
155001,5,1,00000,0,7,103,5075,'ROTHS CANAL','NORTH PINE CIRCLE','200YD W of EAGLES NEST DR',99.99,0.0,0,15000000.0,0.0,27553745,82491298,199,3,3,3,19,1950,2,0,270,2023,A,6.7,0,0,0,1,0,0,0,5,0,0.0,0.0,A,1,5,5,1,0,0,1,0,7.9,7.8,7.8,0.0,0.0,7.9,8.8,99.99,N,0.0,N,0.0,0.0,5.0,5.0,7.0,8.0,,3,38.8,3,27.1,5,5,N,5,7,7,,0.0,123,24,N  ,Y24,N  ,,123.0,,0.0,0.0,0.0,0,N,2,0,0,1984,2,6,0,0,2,0,,3,468,2042,0.0,,5,68.64,5.0,Medium
